count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
8338;50024;PC;79.1;-0.122;0.0;0.0;6.39;0.1;17.0;-30.7;11.78;0.006;3.86;0.004;0.0292;0.00011;10.6;0.0024;3.47;0.002;0.0175;1,00E-05
8339;50046;PC;74.7;-0.118;0.0;0.0;6.53;0.1;17.0;-24.3;12.88;0.0065;4.22;0.0044;0.0321;0.00014;11.59;0.0026;3.79;0.0022;0.0193;1,00E-05
8340;50050;MBT;79.6;-0.488;0.0;0.0;4.07;0.1;27.1;-68.8;8.45;0.004;2.77;0.0031;0.0217;0.00016;7.61;0.0016;2.49;0.0015;0.0131;2,00E-05
8341;50049;PC;74.6;-0.015;0.0;0.0;5.99;0.1;17.0;-36.3;10.83;0.0057;3.55;0.0037;0.0266;8,00E-05;9.75;0.0023;3.19;0.0018;0.0159;1,00E-05
8342;50064;PC;73.8;-0.116;0.0;0.0;5.13;0.1;17.0;-40.6;10.09;0.0052;3.3;0.0035;0.025;9,00E-05;9.08;0.0021;2.97;0.0017;0.015;1,00E-05
8343;50074;PC;72.8;-0.457;0.0;0.0;2.88;0.1;17.0;-58.3;7.09;0.0031;2.32;0.0027;0.0188;0.00018;6.38;0.0012;2.09;0.0013;0.0113;2,00E-05
8344;50081;PC;95.6;0.099;0.0;0.0;11.32;0.1;17.0;-5.1;16.14;0.0088;5.28;0.0053;0.0388;4,00E-05;14.52;0.0035;4.76;0.0026;0.0233;0.0
8345;50094;PC;73.5;-0.241;0.0;0.0;5.3;0.1;17.0;-35.9;10.89;0.0054;3.57;0.0038;0.0274;0.00014;9.8;0.0022;3.21;0.0019;0.0164;1,00E-05
8346;50106;MBT;96.4;-0.33;0.0;0.0;7.49;0.1;27.1;-58.5;11.25;0.0058;3.68;0.0038;0.0278;0.0001;10.12;0.0023;3.31;0.0019;0.0167;1,00E-05
8347;50086;PC;67.3;0.066;0.0;0.0;6.16;0.1;17.0;-27.0;12.4;0.0066;4.06;0.0041;0.0302;7,00E-05;11.16;0.0026;3.65;0.0021;0.0181;1,00E-05
8348;50100;LCV;75.5;-0.033;0.0;0.0;7.81;0.1;26.8;-37.7;16.71;0.0132;5.39;0.0069;0.0374;0.00095;15.04;0.0075;4.85;0.004;0.0233;0.0001
8349;50110;PC;61.8;-0.05;0.0;0.0;4.83;0.1;17.0;-37.8;10.58;0.0055;3.46;0.0036;0.0259;7,00E-05;9.52;0.0022;3.12;0.0018;0.0156;1,00E-05
8350;50122;PC;75.6;0.091;0.0;0.0;8.2;0.1;17.0;-11.7;15.02;0.0081;4.92;0.005;0.0364;6,00E-05;13.51;0.0032;4.42;0.0025;0.0218;1,00E-05
8351;50157;PC;60.0;-0.58;0.0;0.0;2.61;0.1;17.0;-49.7;8.55;0.0036;2.8;0.0032;0.0229;0.00023;7.69;0.0015;2.52;0.0016;0.0137;2,00E-05
8352;50161;SUV;89.1;0.047;0.0;0.0;15.66;0.1;21.5;10.5;23.75;0.0128;7.78;0.0081;0.0589;0.00015;21.38;0.0051;7.0;0.0041;0.0353;2,00E-05
8353;50118;PC;71.0;-0.137;0.0;0.0;4.94;0.1;17.0;-36.2;10.85;0.0055;3.55;0.0038;0.0271;0.00012;9.76;0.0022;3.2;0.0019;0.0163;1,00E-05
8354;50142;SUV;83.1;-0.803;0.0;0.0;3.13;0.1;21.5;-67.8;6.91;0.0029;2.26;0.0026;0.0186;0.0002;6.22;0.0012;2.04;0.0013;0.0112;2,00E-05
8355;50217;SUV;106.0;0.319;0.0;0.0;15.04;0.1;21.5;92.9;41.47;0.0251;13.58;0.015;0.1067;0.00019;37.32;0.01;12.22;0.0075;0.064;2,00E-05
8356;50141;PC;76.9;0.022;0.0;0.0;6.45;0.1;17.0;-26.4;12.5;0.0068;4.09;0.0043;0.0309;7,00E-05;11.25;0.0027;3.68;0.0021;0.0185;1,00E-05
8357;50114;PC;65.8;-0.061;0.0;0.0;4.75;0.1;17.0;-38.1;10.52;0.0053;3.44;0.0036;0.0263;0.00012;9.46;0.0021;3.1;0.0018;0.0158;1,00E-05
8358;50221;SUV;71.1;0.21;0.0;0.0;6.36;0.1;21.5;32.1;28.41;0.0168;9.3;0.0104;0.0736;0.00019;25.57;0.0067;8.37;0.0052;0.0442;2,00E-05
8359;50156;PC;84.5;-0.08;0.0;0.0;7.72;0.1;17.0;-20.3;13.56;0.0071;4.44;0.0046;0.0333;0.0001;12.2;0.0028;4.0;0.0023;0.02;1,00E-05
8360;50186;SUV;80.6;-0.848;0.0;0.0;5.83;0.1;21.5;-26.2;15.86;0.0085;5.19;0.006;0.0422;0.00025;14.28;0.0034;4.67;0.003;0.0253;2,00E-05
8361;50195;PC;83.7;-0.775;0.0;0.0;3.13;0.1;17.0;-57.2;7.27;0.0031;2.38;0.0027;0.0193;0.00019;6.54;0.0013;2.14;0.0014;0.0116;2,00E-05
8362;50175;PC;75.4;-0.205;0.0;0.0;4.83;0.1;17.0;-44.7;9.4;0.0047;3.08;0.0033;0.0236;0.00012;8.46;0.0019;2.77;0.0016;0.0142;1,00E-05
8363;50198;MBT;92.9;-0.062;0.0;0.0;8.27;0.1;27.1;-51.7;13.09;0.007;4.28;0.0045;0.032;0.00012;11.78;0.0029;3.85;0.0022;0.0192;1,00E-05
8364;50193;LCV;80.8;-0.348;0.0;0.0;5.09;0.1;26.8;-52.7;12.69;0.015;3.96;0.0068;0.0234;0.00192;11.42;0.0107;3.57;0.0047;0.0162;0.00019
8365;50179;PC;82.2;-0.099;0.0;0.0;6.18;0.1;17.0;-24.8;12.78;0.0071;4.17;0.0045;0.0312;0.00021;11.5;0.0031;3.76;0.0023;0.0188;2,00E-05
8366;50222;MBT;104.2;-0.145;0.0;0.0;8.94;0.1;27.1;-55.1;12.16;0.0063;3.98;0.0041;0.0299;9,00E-05;10.94;0.0025;3.58;0.0021;0.0179;1,00E-05
8367;50207;PC;67.1;-0.307;0.0;0.0;4.14;0.1;17.0;-43.5;9.6;0.0047;3.14;0.0034;0.0244;0.00014;8.64;0.0019;2.83;0.0017;0.0146;1,00E-05
8368;50203;PC;76.0;0.134;0.0;0.0;8.86;0.1;17.0;-6.7;15.86;0.0085;5.19;0.0052;0.0384;6,00E-05;14.27;0.0034;4.67;0.0026;0.023;1,00E-05
8369;50229;PC;69.1;0.095;0.0;0.0;18.99;0.1;17.0;79.5;30.52;0.0164;9.99;0.0103;0.0749;0.00017;27.47;0.0066;8.99;0.0051;0.0449;2,00E-05
8370;50219;PC;75.1;-0.578;0.0;0.0;3.31;0.1;17.0;-55.7;7.53;0.0034;2.47;0.0028;0.0198;0.00017;6.78;0.0013;2.22;0.0014;0.0119;2,00E-05
8371;50239;PC;99.0;0.16;0.0;0.0;14.05;0.1;17.0;12.5;19.12;0.0104;6.26;0.0063;0.046;5,00E-05;17.21;0.0042;5.63;0.0031;0.0276;0.0
8372;50232;PC;65.4;-1.004;0.0;0.0;2.37;0.1;17.0;-47.6;8.9;0.0035;2.91;0.0035;0.0245;0.0003;8.01;0.0014;2.62;0.0017;0.0147;3,00E-05
8373;50224;PC;80.1;-0.301;0.0;0.0;4.93;0.1;17.0;-44.0;9.52;0.0047;3.12;0.0033;0.0239;0.00012;8.56;0.0019;2.8;0.0017;0.0143;1,00E-05
8374;50256;PC;76.8;-0.228;0.0;0.0;5.47;0.1;17.0;-37.4;10.65;0.0054;3.49;0.0037;0.0265;0.00011;9.59;0.0022;3.14;0.0018;0.0159;1,00E-05
8375;50255;PC;68.6;0.004;0.0;0.0;5.49;0.1;17.0;-29.4;12.0;0.0061;3.93;0.0041;0.0297;0.00011;10.8;0.0025;3.54;0.0021;0.0178;1,00E-05
8376;50294;HV;74.8;-0.991;0.0;0.0;9.19;0.1;93.8;-80.5;18.31;0.013;5.91;0.0075;0.0423;0.00103;16.48;0.0073;5.32;0.0043;0.0262;0.0001
8377;50292;MBT;96.8;0.2;0.0;0.0;13.9;0.1;27.1;-25.9;20.09;0.0109;6.58;0.0066;0.0484;6,00E-05;18.08;0.0044;5.92;0.0033;0.029;1,00E-05
8378;50265;PC;68.2;0.081;0.0;0.0;6.06;0.1;17.0;-28.2;12.21;0.0066;4.0;0.004;0.0295;4,00E-05;10.99;0.0026;3.6;0.002;0.0177;0.0
8379;50329;MBT;96.3;0.31;0.0;0.0;19.55;0.1;27.1;0.0;27.11;0.0146;8.88;0.009;0.0656;0.0001;24.4;0.0058;7.99;0.0045;0.0393;1,00E-05
8380;50273;PC;64.4;-0.004;0.0;0.0;4.93;0.1;17.0;-35.3;10.99;0.0056;3.6;0.0038;0.0273;0.00011;9.89;0.0022;3.24;0.0019;0.0164;1,00E-05
8381;50316;MBT;91.5;-0.286;0.0;0.0;6.21;0.1;27.1;-63.2;9.98;0.0053;3.26;0.0035;0.0246;0.00015;8.99;0.0023;2.94;0.0018;0.0148;2,00E-05
8382;50280;PC;70.4;-0.264;0.0;0.0;4.52;0.1;17.0;-41.1;10.01;0.0049;3.28;0.0035;0.0253;0.00013;9.01;0.002;2.95;0.0018;0.0152;1,00E-05
8383;50325;PC;64.8;0.018;0.0;0.0;8.58;0.1;17.0;3.1;17.53;0.0089;5.74;0.006;0.0437;0.00018;15.78;0.0035;5.17;0.003;0.0262;2,00E-05
8384;50324;MBT;93.1;-0.057;0.0;0.0;9.12;0.1;27.1;-50.0;13.55;0.0071;4.44;0.0045;0.0331;8,00E-05;12.2;0.0029;3.99;0.0023;0.0199;1,00E-05
8385;50276;PC;63.9;0.164;0.0;0.0;7.54;0.1;17.0;-10.1;15.28;0.0083;5.0;0.005;0.0367;3,00E-05;13.75;0.0033;4.5;0.0025;0.022;0.0
8386;50286;PC;70.6;-0.064;0.0;0.0;5.22;0.1;17.0;-34.8;11.09;0.0056;3.63;0.0038;0.0276;0.00011;9.98;0.0023;3.27;0.0019;0.0165;1,00E-05
8387;50303;PC;69.5;-0.13;0.0;0.0;4.8;0.1;17.0;-40.0;10.21;0.0051;3.34;0.0035;0.0255;0.00011;9.19;0.0021;3.01;0.0018;0.0153;1,00E-05
8388;50345;MBT;98.0;-0.1;0.0;0.0;9.36;0.1;27.1;-46.5;14.5;0.0104;4.69;0.0057;0.0329;0.00067;13.05;0.0057;4.22;0.0032;0.0203;7,00E-05
8389;50331;MBT;61.8;-0.678;0.0;0.0;14.74;0.1;27.1;-2.3;26.48;0.0189;8.57;0.0104;0.0604;0.00126;23.83;0.0103;7.71;0.0059;0.0373;0.00013
8390;50375;MBT;101.4;-0.268;0.0;0.0;8.64;0.1;27.1;-54.9;12.21;0.0065;3.99;0.0042;0.0299;0.00014;10.99;0.0027;3.59;0.0021;0.018;1,00E-05
8391;50397;PC;75.0;0.048;0.0;0.0;6.94;0.1;17.0;-16.0;14.29;0.0073;4.68;0.0049;0.0356;0.00015;12.86;0.0029;4.21;0.0025;0.0214;1,00E-05
8392;50366;PC;81.3;0.047;0.0;0.0;8.61;0.1;17.0;-12.5;14.88;0.0079;4.87;0.005;0.0362;8,00E-05;13.39;0.0032;4.39;0.0025;0.0217;1,00E-05
8393;50358;PC;69.4;-0.025;0.0;0.0;6.32;0.1;17.0;-24.9;12.77;0.0066;4.18;0.0043;0.0315;0.0001;11.5;0.0027;3.76;0.0022;0.0189;1,00E-05
8394;50392;HV;75.2;0.159;0.0;0.0;10.02;0.1;93.8;-82.2;16.67;0.0091;5.46;0.0055;0.0401;4,00E-05;15.0;0.0036;4.91;0.0027;0.024;0.0
8395;50378;PC;75.1;-0.103;0.0;0.0;5.79;0.1;17.0;-30.9;11.75;0.006;3.85;0.004;0.0291;0.00011;10.57;0.0024;3.46;0.002;0.0175;1,00E-05
8396;50424;MBT;74.8;-0.977;0.0;0.0;3.66;0.1;27.1;-68.1;8.63;0.0037;2.83;0.0032;0.023;0.00022;7.77;0.0015;2.54;0.0016;0.0138;2,00E-05
8397;50405;PC;83.7;0.481;0.0;0.0;19.98;0.1;17.0;77.7;30.21;0.0165;9.89;0.0099;0.0726;7,00E-05;27.19;0.0066;8.9;0.0049;0.0435;1,00E-05
8398;50394;PC;68.3;-0.377;0.0;0.0;4.49;0.1;17.0;-38.1;10.53;0.0051;3.45;0.0037;0.0269;0.00017;9.48;0.002;3.1;0.0019;0.0161;2,00E-05
8399;50384;HV;75.9;-0.008;0.0;0.0;6.49;0.1;93.8;-88.1;11.19;0.006;3.67;0.0037;0.0272;5,00E-05;10.07;0.0024;3.3;0.0019;0.0163;0.0
8400;50451;MBT;99.4;0.862;0.0;0.0;28.06;0.1;27.1;92.0;52.04;0.033;16.94;0.0184;0.1207;0.0011;46.84;0.0157;15.25;0.0099;0.0735;0.00011
8401;50415;PC;60.1;-1.046;0.0;0.0;5.77;0.1;17.0;-27.4;12.35;0.0059;4.04;0.0045;0.032;0.00022;11.12;0.0024;3.64;0.0022;0.0192;2,00E-05
8402;50463;PC;93.1;0.235;0.0;0.0;10.01;0.1;17.0;55.0;26.35;0.0138;8.63;0.0089;0.0645;0.00017;23.71;0.0055;7.76;0.0044;0.0387;2,00E-05
8403;50412;PC;66.7;-0.127;0.0;0.0;13.79;0.1;17.0;51.1;25.69;0.0141;8.41;0.0089;0.0645;0.00018;23.12;0.0057;7.57;0.0045;0.0387;2,00E-05
8404;50419;HV;74.1;0.019;0.0;0.0;6.63;0.1;93.8;-87.4;11.78;0.0063;3.86;0.0039;0.0286;5,00E-05;10.6;0.0025;3.47;0.002;0.0172;1,00E-05
8405;50449;SUV;74.1;0.047;0.0;0.0;6.76;0.1;21.5;-37.5;13.44;0.0075;4.4;0.0046;0.0333;6,00E-05;12.1;0.003;3.96;0.0023;0.02;1,00E-05
8406;50427;PC;63.9;0.219;0.0;0.0;8.71;0.1;17.0;5.0;17.85;0.0097;5.85;0.0059;0.0429;4,00E-05;16.07;0.0039;5.26;0.0029;0.0257;0.0
8407;50435;HV;74.8;-0.526;0.0;0.0;6.03;0.1;93.8;-86.7;12.47;0.0076;4.05;0.0049;0.0303;0.00053;11.22;0.0039;3.64;0.0027;0.0185;5,00E-05
8408;50434;PC;71.2;0.109;0.0;0.0;8.84;0.1;17.0;7.1;18.2;0.0098;5.96;0.0062;0.045;0.00012;16.38;0.0039;5.36;0.0031;0.027;1,00E-05
8409;50477;PC;59.1;0.783;0.0;0.0;15.95;0.1;17.0;160.0;44.2;0.024;14.47;0.0145;0.1064;0.00012;39.78;0.0096;13.03;0.0073;0.0639;1,00E-05
8410;50443;SUV;70.2;0.442;0.0;0.0;25.99;0.1;21.5;94.6;41.84;0.0343;13.46;0.0172;0.0905;0.00258;37.66;0.02;12.12;0.0103;0.0568;0.00026
8411;50462;SUV;69.4;-0.009;0.0;0.0;5.96;0.1;21.5;-42.4;12.39;0.0068;4.05;0.0044;0.0304;0.00021;11.15;0.003;3.64;0.0023;0.0183;2,00E-05
8412;50522;PC;67.6;0.23;0.0;0.0;9.18;0.1;17.0;5.5;17.93;0.0098;5.87;0.0059;0.0431;5,00E-05;16.14;0.0039;5.29;0.0029;0.0259;0.0
8413;50518;PC;64.3;0.374;0.0;0.0;10.08;0.1;17.0;31.3;22.31;0.0122;7.31;0.0073;0.0536;5,00E-05;20.08;0.0049;6.58;0.0037;0.0322;1,00E-05
8414;50564;SUV;106.9;0.265;0.0;0.0;12.72;0.1;21.5;78.6;38.4;0.0225;12.57;0.0137;0.0981;0.00021;34.56;0.009;11.32;0.0069;0.0589;2,00E-05
8415;50492;PC;76.2;0.009;0.0;0.0;6.58;0.1;17.0;-21.8;13.29;0.007;4.35;0.0045;0.0329;0.0001;11.96;0.0028;3.92;0.0023;0.0198;1,00E-05
8416;50521;PC;87.3;0.188;0.0;0.0;12.19;0.1;17.0;16.9;19.88;0.0109;6.51;0.0066;0.0484;7,00E-05;17.89;0.0044;5.86;0.0033;0.029;1,00E-05
8417;50542;PC;117.5;0.104;0.0;0.0;17.65;0.1;17.0;23.7;21.04;0.0114;6.89;0.0069;0.0508;7,00E-05;18.93;0.0045;6.2;0.0035;0.0305;1,00E-05
8418;50519;PC;79.2;-0.107;0.0;0.0;5.92;0.1;17.0;-36.9;10.73;0.0056;3.51;0.0037;0.0266;9,00E-05;9.66;0.0022;3.16;0.0018;0.016;1,00E-05
8419;50529;PC;84.6;-0.334;0.0;0.0;5.57;0.1;17.0;-43.5;9.6;0.0048;3.14;0.0033;0.0241;0.00011;8.64;0.0019;2.83;0.0017;0.0144;1,00E-05
8420;50561;PC;99.0;-0.028;0.0;0.0;10.36;0.1;17.0;-12.0;14.95;0.0081;4.9;0.0051;0.0368;9,00E-05;13.46;0.0032;4.41;0.0025;0.0221;1,00E-05
8421;50534;PC;71.5;0.083;0.0;0.0;7.45;0.1;17.0;-18.5;13.86;0.0076;4.54;0.0046;0.0337;5,00E-05;12.47;0.003;4.08;0.0023;0.0202;1,00E-05
8422;50555;PC;71.3;-0.247;0.0;0.0;4.82;0.1;17.0;-40.8;10.06;0.0048;3.29;0.0036;0.0257;0.00016;9.05;0.0019;2.96;0.0018;0.0154;2,00E-05
8423;50562;PC;89.7;0.004;0.0;0.0;9.46;0.1;17.0;-9.6;15.37;0.0085;5.03;0.0052;0.0378;7,00E-05;13.83;0.0034;4.53;0.0026;0.0227;1,00E-05
8424;50613;PC;76.4;0.158;0.0;0.0;8.95;0.1;17.0;-5.6;16.05;0.0087;5.25;0.0053;0.0387;5,00E-05;14.44;0.0035;4.73;0.0026;0.0232;1,00E-05
8425;50587;SUV;72.5;0.274;0.0;0.0;11.32;0.1;21.5;8.1;23.23;0.0134;7.61;0.0079;0.0574;6,00E-05;20.91;0.0053;6.85;0.004;0.0345;1,00E-05
8426;50622;SUV;75.2;-1.193;0.0;0.0;3.94;0.1;21.5;-60.5;8.49;0.0038;2.78;0.0032;0.0225;0.0002;7.65;0.0015;2.5;0.0016;0.0135;2,00E-05
8427;50628;PC;99.0;-0.133;0.0;0.0;10.17;0.1;17.0;-16.0;14.28;0.0074;4.68;0.0048;0.0351;0.0001;12.85;0.003;4.21;0.0024;0.0211;1,00E-05
8428;50614;PC;76.7;-0.203;0.0;0.0;4.94;0.1;17.0;-45.6;9.25;0.0046;3.03;0.0032;0.0231;0.0001;8.32;0.0019;2.73;0.0016;0.0139;1,00E-05
8429;50629;PC;80.1;0.03;0.0;0.0;8.09;0.1;17.0;-18.8;13.8;0.0073;4.52;0.0046;0.0336;7,00E-05;12.42;0.0029;4.07;0.0023;0.0202;1,00E-05
8430;50626;PC;75.2;-1.123;0.0;0.0;3.75;0.1;17.0;-51.2;8.3;0.0037;2.71;0.0031;0.0219;0.00023;7.47;0.0015;2.44;0.0016;0.0133;2,00E-05
8431;50660;MBT;103.0;-0.051;0.0;0.0;10.24;0.1;27.1;-51.8;13.07;0.0071;4.28;0.0043;0.0315;4,00E-05;11.77;0.0028;3.85;0.0022;0.0189;0.0
8432;50646;PC;62.3;-0.766;0.0;0.0;4.81;0.1;17.0;3.7;17.63;0.0082;5.77;0.0064;0.0456;0.00034;15.87;0.0033;5.2;0.0032;0.0274;3,00E-05
8433;50665;PC;74.2;0.038;0.0;0.0;6.71;0.1;17.0;-24.9;12.76;0.0068;4.18;0.0043;0.0311;7,00E-05;11.48;0.0027;3.76;0.0021;0.0186;1,00E-05
8434;50653;HV;72.2;-0.697;0.0;0.0;3.16;0.1;93.8;-91.4;8.07;0.0035;2.64;0.003;0.0214;0.0002;7.26;0.0014;2.38;0.0015;0.0128;2,00E-05
8435;50677;PC;61.8;-0.597;0.0;0.0;6.16;0.1;17.0;-12.3;14.91;0.0071;4.88;0.0053;0.0381;0.00024;13.42;0.0029;4.39;0.0027;0.0229;2,00E-05
8436;50673;PC;78.3;-0.108;0.0;0.0;5.93;0.1;17.0;-35.1;11.03;0.0057;3.61;0.0038;0.0273;0.0001;9.93;0.0023;3.25;0.0019;0.0164;1,00E-05
8437;50690;PC;61.7;-0.534;0.0;0.0;4.59;0.1;17.0;-26.9;12.43;0.0058;4.07;0.0045;0.0321;0.00023;11.18;0.0023;3.66;0.0022;0.0193;2,00E-05
8438;50683;SUV;62.3;-0.178;0.0;0.0;13.32;0.1;21.5;18.4;25.46;0.0132;8.34;0.0086;0.0627;0.0002;22.91;0.0053;7.5;0.0043;0.0376;2,00E-05
8439;50699;PC;73.9;-0.152;0.0;0.0;5.63;0.1;17.0;-33.1;11.38;0.0058;3.73;0.0039;0.0283;0.00011;10.24;0.0023;3.35;0.002;0.017;1,00E-05
8440;50700;PC;99.4;-0.022;0.0;0.0;9.93;0.1;17.0;-19.3;13.72;0.0073;4.49;0.0046;0.0334;7,00E-05;12.35;0.0029;4.04;0.0023;0.0201;1,00E-05
8441;50705;LCV;65.3;-0.163;0.0;0.0;5.08;0.1;26.8;-58.4;11.16;0.007;3.63;0.0042;0.0264;0.00036;10.04;0.0035;3.27;0.0023;0.0161;4,00E-05
8442;50716;PC;65.5;-0.048;0.0;0.0;10.22;0.1;17.0;16.7;19.84;0.0102;6.5;0.0068;0.0491;0.00018;17.85;0.0041;5.85;0.0034;0.0295;2,00E-05
