count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
1015;4569;PC;76.5;0.454;0.0;0.0;15.37;0.1;17.0;64.5;27.96;0.0152;9.15;0.0092;0.0672;7,00E-05;25.16;0.0061;8.24;0.0046;0.0403;1,00E-05
1016;4557;PC;75.2;-0.232;0.0;0.0;6.23;0.1;17.0;21.1;20.58;0.0101;6.74;0.0072;0.052;0.00028;18.52;0.004;6.06;0.0036;0.0312;3,00E-05
1017;4544;SUV;63.8;-0.007;0.0;0.0;6.83;0.1;21.5;-29.1;15.24;0.0081;4.99;0.0054;0.0387;0.00015;13.72;0.0033;4.49;0.0027;0.0232;2,00E-05
1018;4578;PC;119.9;0.329;0.0;0.0;10.59;0.1;17.0;115.8;36.68;0.0197;12.01;0.0121;0.0888;0.00015;33.02;0.0079;10.81;0.0061;0.0533;1,00E-05
1019;4550;PC;48.4;-0.137;0.0;0.0;2.03;0.1;17.0;-59.3;6.92;0.0033;2.27;0.0025;0.0178;0.00012;6.23;0.0013;2.04;0.0012;0.0107;1,00E-05
1020;4583;PC;84.5;0.526;0.0;0.0;21.9;0.1;17.0;138.0;40.46;0.0219;13.25;0.0133;0.0976;0.00013;36.41;0.0088;11.92;0.0067;0.0586;1,00E-05
1021;4562;MBT;83.6;0.126;0.0;0.0;9.89;0.1;27.1;-33.2;18.11;0.0125;5.87;0.0068;0.0413;0.00064;16.3;0.0065;5.29;0.0038;0.0254;6,00E-05
1022;4535;PC;48.6;-0.247;0.0;0.0;2.14;0.1;17.0;-53.2;7.95;0.0037;2.6;0.0029;0.0206;0.00015;7.15;0.0015;2.34;0.0014;0.0123;2,00E-05
1023;4573;PC;82.5;0.178;0.0;0.0;10.34;0.1;17.0;2.9;17.5;0.0095;5.73;0.0058;0.0422;5,00E-05;15.75;0.0038;5.16;0.0029;0.0253;1,00E-05
1024;4554;PC;58.0;-0.063;0.0;0.0;3.04;0.1;17.0;-51.7;8.22;0.004;2.69;0.0029;0.0208;0.00011;7.39;0.0016;2.42;0.0014;0.0125;1,00E-05
1025;4545;SUV;44.9;0.216;0.0;0.0;5.64;0.1;21.5;-12.2;18.88;0.0107;6.18;0.0065;0.047;9,00E-05;17.0;0.0043;5.57;0.0033;0.0282;1,00E-05
1026;4625;PC;35.7;0.189;0.0;0.0;8.49;0.1;17.0;60.4;27.26;0.0144;8.93;0.0092;0.0667;0.00017;24.54;0.0057;8.03;0.0046;0.04;2,00E-05
1027;4574;SUV;67.4;-0.981;0.0;0.0;4.3;0.1;21.5;-31.9;14.64;0.0149;4.63;0.0077;0.0306;0.00195;13.18;0.0103;4.16;0.005;0.0202;0.00019
1028;4606;PC;44.7;0.078;0.0;0.0;3.09;0.1;17.0;-44.5;9.44;0.0051;3.09;0.0031;0.0227;2,00E-05;8.49;0.0021;2.78;0.0015;0.0136;0.0
1029;4630;PC;96.3;0.584;0.0;0.0;10.91;0.1;17.0;100.5;34.08;0.0185;11.16;0.0112;0.0821;9,00E-05;30.67;0.0074;10.04;0.0056;0.0492;1,00E-05
