frame,track_id,class,method,speed_kmh,accel_mps2,x_px,y_px
57,14,PC,homography,91.65,1.05,1216,537
58,5,MBT,homography,100.79,0.3,928,665
58,6,PC,homography,80.56,0.109,1024,829
58,14,PC,homography,89.04,0.605,1216,538
59,5,MBT,homography,100.43,0.268,923,669
59,6,PC,homography,80.34,0.092,1018,836
59,14,PC,homography,88.82,0.535,1214,539
60,5,MBT,homography,100.58,0.271,917,673
60,6,PC,homography,80.24,0.083,1012,843
60,14,PC,homography,88.38,0.437,1213,541
61,5,MBT,homography,100.75,0.275,910,677
61,6,PC,homography,80.4,0.091,1005,850
61,14,PC,homography,89.23,0.535,1211,542
62,5,MBT,homography,101.03,0.286,902,681
62,6,PC,homography,80.97,0.124,997,859
62,14,PC,homography,88.61,0.418,1210,543
63,5,MBT,homography,101.57,0.312,895,686
63,6,PC,homography,81.61,0.161,989,868
63,14,PC,homography,88.99,0.447,1208,545
64,5,MBT,homography,100.96,0.267,892,688
64,6,PC,homography,81.25,0.136,986,871
64,14,PC,homography,87.26,0.196,1207,545
65,5,MBT,homography,100.33,0.222,887,691
65,6,PC,homography,80.9,0.111,980,878
65,14,PC,homography,86.16,0.046,1205,547
66,5,MBT,homography,100.22,0.21,879,696
66,6,PC,homography,80.7,0.096,973,886
66,14,PC,homography,84.4,-0.174,1204,548
67,5,MBT,homography,100.24,0.206,871,701
67,6,PC,homography,80.7,0.094,965,895
67,14,PC,homography,82.27,-0.421,1202,549
68,5,MBT,homography,100.65,0.225,863,706
68,6,PC,homography,80.99,0.109,956,905
68,14,PC,homography,82.06,-0.427,1200,551
69,5,MBT,homography,101.42,0.265,855,712
69,6,PC,homography,81.51,0.136,947,915
69,14,PC,homography,81.48,-0.472,1199,552
70,5,MBT,homography,101.12,0.242,852,714
70,6,PC,homography,81.16,0.113,944,919
70,14,PC,homography,79.12,-0.712,1198,552
71,5,MBT,homography,100.86,0.222,846,719
71,6,PC,homography,80.82,0.092,937,927
71,14,PC,homography,77.73,-0.831,1197,554
72,5,MBT,homography,100.75,0.21,838,724
72,6,PC,homography,80.62,0.078,928,937
72,14,PC,homography,76.88,-0.885,1196,555
73,5,MBT,homography,100.92,0.215,829,730
73,6,PC,homography,80.62,0.076,918,947
73,14,PC,homography,76.58,-0.879,1194,557
74,5,MBT,homography,101.32,0.233,819,736
74,6,PC,homography,80.79,0.084,908,958
74,14,PC,homography,76.39,-0.864,1192,558
75,5,MBT,homography,101.81,0.254,809,742
75,6,PC,homography,81.24,0.107,897,971
75,14,PC,homography,76.5,-0.819,1190,560
76,5,MBT,homography,101.25,0.218,806,744
76,6,PC,homography,80.9,0.086,893,975
76,14,PC,homography,75.22,-0.909,1190,560
77,5,MBT,homography,100.78,0.189,798,749
77,6,PC,homography,80.51,0.063,884,985
77,14,PC,homography,73.29,-1.054,1188,561
78,5,MBT,homography,100.67,0.179,788,756
78,6,PC,homography,80.44,0.058,874,998
78,14,PC,homography,72.22,-1.112,1186,563
79,5,MBT,homography,100.76,0.18,777,762
79,6,PC,homography,80.45,0.058,863,1010
79,14,PC,homography,71.37,-1.148,1184,564
80,5,MBT,homography,101.25,0.202,766,770
