count_id,track_id,class,speed_kmh,accel_avg_mps2,vel_1_mps,vel_2_mps,vsp_kw_ton,vkt_km,tier1_co2_g,diff_co2_pct,e2_co2_g,e2_nox_g,e2_fuel_g,e2_hc_g,e2_co_g,e2_pm25_g,e5_co2_g,e5_nox_g,e5_fuel_g,e5_hc_g,e5_co_g,e5_pm25_g
335,2207,PC,91.5,-0.177,0.0,0.0,5.3,0.1,17.0,-49.5,8.58,0.0043,2.81,0.003,0.0216,0.00011,7.72,0.0017,2.53,0.0015,0.0129,1e-05
336,2188,PC,79.0,-0.504,0.0,0.0,3.92,0.1,17.0,-50.9,8.35,0.0039,2.74,0.003,0.0216,0.00016,7.52,0.0016,2.46,0.0015,0.0129,2e-05
337,2205,PC,96.6,0.613,0.0,0.0,19.48,0.1,17.0,113.9,36.36,0.0197,11.9,0.012,0.0876,0.00011,32.72,0.0079,10.71,0.006,0.0526,1e-05
338,2176,PC,64.4,-0.001,0.0,0.0,5.43,0.1,17.0,-30.1,11.88,0.0062,3.89,0.0041,0.0294,0.0001,10.7,0.0025,3.5,0.002,0.0177,1e-05
339,2208,PC,75.9,0.206,0.0,0.0,11.15,0.1,17.0,9.6,18.63,0.0101,6.1,0.0061,0.0448,5e-05,16.76,0.0041,5.49,0.0031,0.0269,0.0
340,2202,PC,68.0,0.127,0.0,0.0,8.01,0.1,17.0,-14.1,14.61,0.0079,4.78,0.0048,0.0352,4e-05,13.15,0.0032,4.31,0.0024,0.0211,0.0
341,2189,PC,53.2,-0.923,0.0,0.0,9.48,0.1,17.0,37.4,23.35,0.0117,7.65,0.0081,0.0585,0.00028,21.02,0.0047,6.88,0.0041,0.0351,3e-05
342,2221,PC,70.8,-0.395,0.0,0.0,4.59,0.1,17.0,-38.9,10.39,0.0049,3.4,0.0037,0.0266,0.00018,9.35,0.002,3.06,0.0019,0.016,2e-05
343,2210,PC,86.6,-0.188,0.0,0.0,7.06,0.1,17.0,-30.2,11.86,0.0061,3.88,0.004,0.0293,0.0001,10.67,0.0025,3.49,0.002,0.0176,1e-05
344,2246,PC,70.0,0.258,0.0,0.0,9.94,0.1,17.0,14.1,19.39,0.0105,6.35,0.0064,0.0467,5e-05,17.45,0.0042,5.71,0.0032,0.028,1e-05
345,2228,MBT,91.5,-0.656,0.0,0.0,8.7,0.1,27.1,-43.0,15.44,0.0119,4.97,0.0066,0.0348,0.00105,13.9,0.007,4.47,0.0039,0.0218,0.0001
346,2223,SUV,70.0,0.131,0.0,0.0,7.76,0.1,21.5,-22.4,16.68,0.0101,5.45,0.0059,0.0404,0.00021,15.01,0.0044,4.9,0.003,0.0244,2e-05
347,2257,PC,101.8,-0.237,0.0,0.0,9.07,0.1,17.0,-13.4,14.72,0.0081,4.82,0.0052,0.0371,0.00011,13.25,0.0033,4.34,0.0026,0.0223,1e-05
