count_id,track_id,class,speed_kmh,accel_avg_mps2,vel_1_mps,vel_2_mps,vsp_kw_ton,vkt_km,tier1_co2_g,diff_co2_pct,e2_co2_g,e2_nox_g,e2_fuel_g,e2_hc_g,e2_co_g,e2_pm25_g,e5_co2_g,e5_nox_g,e5_fuel_g,e5_hc_g,e5_co_g,e5_pm25_g
5655,32812,PC,13.6,-0.009,0.0,0.0,0.61,0.10297,17.5,-29.1,12.41,0.0036,4.06,0.0054,0.0371,0.00069,11.17,0.0014,3.66,0.0027,0.0222,7e-05
5656,32789,PC,7.4,-0.069,0.0,0.0,0.48,0.10297,17.5,26.3,22.12,0.0061,7.24,0.0099,0.0673,0.00132,19.9,0.0024,6.52,0.005,0.0404,0.00013
5657,32890,PC,16.9,-0.568,0.0,0.0,0.51,0.10297,17.5,-11.0,15.58,0.004,5.1,0.0071,0.0478,0.00098,14.02,0.0016,4.59,0.0035,0.0287,0.0001
5658,32791,PC,12.7,0.043,0.0,0.0,0.85,0.10297,17.5,-33.5,11.63,0.0046,3.81,0.0046,0.0319,0.00039,10.47,0.0019,3.43,0.0023,0.0192,4e-05
5659,32882,LCV,37.9,-0.182,0.0,0.0,3.19,0.10297,27.6,-19.2,22.29,0.0258,6.94,0.0121,0.0421,0.00342,20.06,0.0186,6.25,0.0085,0.0295,0.00034
5660,32945,LCV,76.7,0.387,0.0,0.0,11.75,0.10297,27.6,54.3,42.59,0.0559,13.27,0.0236,0.0722,0.00704,38.33,0.0403,11.94,0.0165,0.0506,0.0007
5661,32818,SUV,12.0,-0.068,0.0,0.0,0.68,0.10297,22.14,-7.3,20.53,0.0078,6.72,0.0088,0.0601,0.0009,18.48,0.0031,6.05,0.0044,0.0361,9e-05
5662,32803,LCV,13.9,-0.255,0.0,0.0,0.58,0.10297,27.6,-66.9,9.13,0.0052,2.9,0.0043,0.0236,0.00082,8.22,0.0034,2.61,0.0028,0.0157,8e-05
5663,32807,PC,12.9,0.053,0.0,0.0,0.93,0.10297,17.5,-6.7,16.33,0.0056,5.35,0.0067,0.0467,0.00072,14.7,0.0023,4.81,0.0034,0.028,7e-05
5664,32921,PC,39.4,-0.169,0.0,0.0,2.23,0.10297,17.5,-28.9,12.44,0.0059,4.07,0.0045,0.032,0.00022,11.2,0.0024,3.67,0.0022,0.0192,2e-05
5665,32914,LCV,12.3,0.251,0.0,0.0,4.85,0.10297,27.6,34.5,37.13,0.0454,11.58,0.0203,0.0669,0.00583,33.42,0.0326,10.42,0.0141,0.0467,0.00058
5666,32840,SUV,13.3,-0.307,0.0,0.0,1.08,0.10297,22.14,23.6,27.36,0.0183,8.69,0.0133,0.0687,0.00272,24.63,0.012,7.83,0.0084,0.0449,0.00027
5667,32908,PC,14.5,-0.239,0.0,0.0,0.48,0.10297,17.5,-29.6,12.32,0.0037,4.03,0.0053,0.0366,0.00067,11.09,0.0015,3.63,0.0027,0.022,7e-05
5668,32974,PC,19.2,-0.083,0.0,0.0,0.48,0.10297,17.5,131.9,40.59,0.0106,13.29,0.0182,0.1238,0.00249,36.53,0.0042,11.96,0.0091,0.0743,0.00025
5669,32975,HV,76.7,0.543,0.0,0.0,8.44,0.10297,96.59,-48.1,50.14,0.0258,16.42,0.0171,0.1239,0.00043,45.12,0.0103,14.77,0.0085,0.0744,4e-05
5670,32895,LCV,13.4,0.001,0.0,0.0,0.78,0.10297,27.6,-54.6,12.51,0.0109,3.9,0.0065,0.028,0.00165,11.26,0.0079,3.51,0.0046,0.0196,0.00017
5671,32981,LCV,51.9,-0.232,0.0,0.0,4.72,0.10297,27.6,-35.3,17.85,0.0202,5.58,0.0097,0.0345,0.0027,16.07,0.0145,5.02,0.0067,0.0238,0.00027
5672,32893,HV,11.2,-0.173,0.0,0.0,0.71,0.10297,96.59,-84.5,14.96,0.0043,4.9,0.0066,0.0448,0.00084,13.46,0.0017,4.41,0.0033,0.0269,8e-05
5673,32934,HV,18.1,-0.029,0.0,0.0,3.39,0.10297,96.59,-76.9,22.34,0.0211,7.07,0.0109,0.047,0.00249,20.11,0.0141,6.36,0.0071,0.0311,0.00025
5674,33011,LCV,119.9,0.358,0.0,0.0,18.08,0.10297,27.6,120.8,60.94,0.0318,19.89,0.0205,0.149,0.00042,54.84,0.0129,17.9,0.0106,0.0906,4e-05
5675,33037,PC,13.8,0.155,0.0,0.0,1.23,0.10297,17.5,0.5,17.6,0.0078,5.76,0.0065,0.0464,0.00041,15.84,0.0031,5.19,0.0033,0.0278,4e-05
5676,33035,HV,37.4,-0.213,0.0,0.0,4.11,0.10297,96.59,-80.7,18.64,0.0191,5.89,0.0094,0.0377,0.00234,16.78,0.0131,5.3,0.0062,0.0251,0.00023
5677,32964,PC,6.5,0.071,0.0,0.0,0.68,0.10297,17.5,-25.0,13.13,0.0052,4.3,0.0051,0.036,0.00043,11.82,0.0021,3.87,0.0026,0.0216,4e-05
5678,33014,SUV,40.6,-0.67,0.0,0.0,1.35,0.10297,22.14,-53.5,10.3,0.0042,3.37,0.0043,0.0297,0.0004,9.27,0.0017,3.03,0.0022,0.0178,4e-05
5679,33038,SUV,45.8,0.112,0.0,0.0,3.91,0.10297,22.14,-29.4,15.62,0.0096,5.11,0.0056,0.04,5e-05,14.06,0.0038,4.6,0.0028,0.024,1e-05
5680,33054,MBT,4.0,-0.573,0.0,0.0,0.9,0.10297,27.9,-10.8,24.9,0.0084,8.15,0.0104,0.0717,0.00114,22.41,0.0034,7.34,0.0052,0.043,0.00011
5681,32954,PC,13.0,-0.435,0.0,0.0,0.83,0.10297,17.5,13.0,19.78,0.0061,6.46,0.0084,0.0579,0.00101,17.8,0.0025,5.81,0.0043,0.0351,0.0001
5682,32913,PC,8.3,-0.013,0.0,0.0,0.39,0.10297,17.5,40.1,24.53,0.006,8.03,0.0112,0.0757,0.00159,22.08,0.0024,7.23,0.0056,0.0454,0.00016
5683,32941,LCV,15.6,-0.048,0.0,0.0,0.91,0.10297,27.6,-45.4,15.07,0.01,4.75,0.0072,0.0369,0.00147,13.56,0.0067,4.27,0.0048,0.025,0.00015
5684,33056,LCV,49.9,0.107,0.0,0.0,4.28,0.10297,27.6,-35.7,17.73,0.0223,5.53,0.0097,0.0311,0.00282,15.96,0.016,4.98,0.0068,0.0217,0.00028
5685,32987,PC,16.7,-0.157,0.0,0.0,0.47,0.10297,17.5,-24.8,13.16,0.0034,4.31,0.0059,0.0402,0.00082,11.84,0.0014,3.88,0.003,0.0241,8e-05
5686,33001,PC,11.0,-0.1,0.0,0.0,0.38,0.10297,17.5,-7.0,16.28,0.0047,5.29,0.0074,0.049,0.00108,14.65,0.0022,4.76,0.0039,0.0301,0.00011
5687,33068,SUV,36.3,-1.121,0.0,0.0,5.47,0.10297,22.14,30.2,28.82,0.0304,9.09,0.015,0.0587,0.00385,25.94,0.021,8.18,0.0099,0.039,0.00039
5688,32948,PC,14.2,-0.258,0.0,0.0,0.83,0.10297,17.5,32.4,23.18,0.0074,7.59,0.0098,0.0677,0.00115,20.86,0.003,6.83,0.0049,0.0406,0.00011
5689,33017,LCV,14.7,-0.162,0.0,0.0,0.97,0.10297,27.6,-40.4,16.44,0.0143,5.12,0.0086,0.0369,0.00217,14.8,0.0103,4.61,0.006,0.0258,0.00022
5690,33029,SUV,16.3,-0.019,0.0,0.0,0.54,0.10297,22.14,-41.3,12.99,0.0057,4.24,0.0058,0.0371,0.00075,11.69,0.0028,3.81,0.003,0.0224,8e-05
5691,33055,PC,10.6,-0.103,0.0,0.0,0.49,0.10297,17.5,-41.1,10.31,0.0029,3.38,0.0045,0.0309,0.00059,9.28,0.0012,3.04,0.0023,0.0186,6e-05
5692,33097,PC,54.1,-0.668,0.0,0.0,3.22,0.10297,17.5,-30.1,12.23,0.0054,4.01,0.0045,0.0323,0.00029,11.01,0.0022,3.61,0.0023,0.0194,3e-05
