Class,TP,FP,FN,Precision,Recall,F1_Score
PassengerCar,373,18,56,0.954,0.8695,0.9098
LCV,140,19,28,0.8805,0.8333,0.8563
Minibus Taxi,28,1,3,0.9655,0.9032,0.9333
Heavy Vehicle,42,1,5,0.9767,0.8936,0.9333
SUV,147,35,25,0.8077,0.8547,0.8305
