count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
3980;24439;HV;75.0;-0.056;0.0;0.0;6.12;0.07531;70.64;-87.8;8.58;0.0045;2.81;0.0029;0.0211;7,00E-05;7.73;0.0018;2.53;0.0015;0.0127;1,00E-05
3981;24441;PC;74.2;-0.266;0.0;0.0;5.09;0.07531;12.8;-37.4;8.01;0.004;2.62;0.0028;0.0201;0.0001;7.21;0.0016;2.36;0.0014;0.0121;1,00E-05
3982;24431;PC;69.0;0.099;0.0;0.0;7.23;0.07531;12.8;-16.4;10.7;0.0057;3.5;0.0036;0.026;5,00E-05;9.63;0.0023;3.15;0.0018;0.0156;0.0
3983;24453;PC;81.3;0.221;0.0;0.0;12.06;0.07531;12.8;14.2;14.62;0.008;4.79;0.0048;0.0351;3,00E-05;13.16;0.0032;4.31;0.0024;0.0211;0.0
3984;24449;PC;70.5;-0.201;0.0;0.0;5.03;0.07531;12.8;-36.9;8.08;0.0041;2.65;0.0028;0.0201;8,00E-05;7.27;0.0016;2.38;0.0014;0.0121;1,00E-05
3985;24456;PC;53.7;-1.283;0.0;0.0;2.94;0.07531;12.8;-51.2;6.24;0.0026;2.04;0.0024;0.0169;0.00019;5.62;0.001;1.84;0.0012;0.0101;2,00E-05
3986;24464;PC;67.5;-0.205;0.0;0.0;3.99;0.07531;12.8;-47.3;6.75;0.0033;2.21;0.0024;0.0171;9,00E-05;6.08;0.0013;1.99;0.0012;0.0102;1,00E-05
3987;24471;PC;85.4;0.155;0.0;0.0;11.34;0.07531;12.8;1.2;12.96;0.0071;4.24;0.0042;0.0311;3,00E-05;11.66;0.0028;3.82;0.0021;0.0187;0.0
3988;24459;HV;60.8;-0.006;0.0;0.0;4.35;0.07531;70.64;-89.3;7.53;0.0039;2.47;0.0026;0.0185;6,00E-05;6.78;0.0016;2.22;0.0013;0.0111;1,00E-05
3989;24466;PC;74.0;0.001;0.0;0.0;6.85;0.07531;12.8;-30.7;8.87;0.0047;2.91;0.003;0.0216;5,00E-05;7.98;0.0019;2.61;0.0015;0.013;0.0
3990;24494;PC;59.9;-0.943;0.0;0.0;2.58;0.07531;12.8;-46.8;6.81;0.0027;2.23;0.0027;0.0186;0.00022;6.12;0.0011;2.01;0.0013;0.0112;2,00E-05
3991;24470;PC;71.8;-0.259;0.0;0.0;4.27;0.07531;12.8;-44.7;7.08;0.0035;2.32;0.0025;0.0179;0.0001;6.37;0.0014;2.09;0.0012;0.0107;1,00E-05
